Target	Month	Day	Hr	Min	Hang	Vang	Dslope	X	Y	Z
3333	6	20	6	47	300.78889	93.93528	1143.149	4020.27	5583.777	923.334
RRRR	6	20	7	0	180.00944	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	7	0	0.0075	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	7	0	112.02111	265.70111	1130.012	3955.362	5422.509	917.083
1111	6	20	7	1	292.02083	94.30417	1130.01	3955.368	5422.499	916.976
2222	6	20	7	1	309.81361	93.0925	1501.322	3848.455	5959.898	920.859
2222	6	20	7	2	129.81306	266.91472	1501.32	3848.44	5959.893	921.047
3333	6	20	7	2	120.78	266.07167	1143.084	4020.23	5583.6	923.479
3333	6	20	7	2	300.78139	93.93556	1143.082	4020.253	5583.617	923.335
RRRR	6	20	7	15	180.00972	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	7	15	0.00833	265.62194	23.078	4999.997	4976.99	999.938
1111	6	20	7	16	112.01139	265.70222	1129.965	3955.332	5422.317	917.106
1111	6	20	7	16	292.01306	94.30222	1129.965	3955.35	5422.343	917.022
2222	6	20	7	16	309.80972	93.09056	1501.235	3848.451	5959.762	920.913
2222	6	20	7	17	129.80833	266.91694	1501.232	3848.425	5959.744	921.109
3333	6	20	7	17	120.77333	266.07194	1143.018	4020.217	5583.451	923.488
3333	6	20	7	17	300.77444	93.93361	1143.016	4020.236	5583.464	923.378
RRRR	6	20	7	30	180.00917	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	7	30	0.00667	265.62167	23.078	4999.997	4976.99	999.938
1111	6	20	7	31	112.00389	265.70444	1129.92	3955.313	5422.161	917.157
1111	6	20	7	31	292.00417	94.30194	1129.918	3955.328	5422.164	917.028
2222	6	20	7	31	309.805	93.08778	1501.147	3848.436	5959.613	920.991
2222	6	20	7	32	129.80333	266.91806	1501.145	3848.407	5959.588	921.147
3333	6	20	7	32	120.76694	266.07278	1142.95	4020.209	5583.307	923.51
3333	6	20	7	32	300.76806	93.93361	1142.948	4020.229	5583.319	923.381
RRRR	6	20	7	45	180.00889	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	7	45	0.00889	265.62194	23.078	4999.996	4976.99	999.938
1111	6	20	7	46	111.9975	265.70333	1129.871	3955.314	5422.027	917.138
1111	6	20	7	46	291.99778	94.30167	1129.87	3955.325	5422.031	917.036
2222	6	20	7	46	309.80111	93.08889	1501.058	3848.441	5959.479	920.971
2222	6	20	7	47	129.79861	266.91694	1501.056	3848.396	5959.433	921.119
3333	6	20	7	47	120.75917	266.07222	1142.88	4020.19	5583.136	923.501
3333	6	20	7	47	300.76083	93.9325	1142.878	4020.215	5583.161	923.408
RRRR	6	20	8	0	180.00917	94.38639	23.078	4999.996	4976.99	999.935
RRRR	6	20	8	0	0.0075	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	8	1	111.99028	265.70583	1129.82	3955.306	5421.88	917.191
1111	6	20	8	1	291.99111	94.30028	1129.82	3955.32	5421.889	917.069
2222	6	20	8	1	309.79639	93.08667	1500.97	3848.43	5959.333	921.032
2222	6	20	8	2	129.79556	266.91972	1500.968	3848.408	5959.316	921.199
3333	6	20	8	2	120.7525	266.07556	1142.809	4020.179	5582.989	923.574
3333	6	20	8	2	300.75472	93.93111	1142.807	4020.213	5583.023	923.441
RRRR	6	20	8	15	180.00944	94.38417	23.078	4999.996	4976.99	999.936
RRRR	6	20	8	15	0.00806	265.62333	23.078	4999.997	4976.989	999.939
1111	6	20	8	16	111.98222	265.7075	1129.769	3955.291	5421.714	917.225
1111	6	20	8	16	291.98278	94.3	1129.766	3955.308	5421.719	917.081
2222	6	20	8	16	309.79333	93.08639	1500.881	3848.445	5959.212	921.04
2222	6	20	8	17	129.79028	266.91972	1500.88	3848.387	5959.155	921.201
3333	6	20	8	17	120.74583	266.07611	1142.737	4020.173	5582.84	923.592
3333	6	20	8	17	300.7475	93.92972	1142.735	4020.197	5582.861	923.471
RRRR	6	20	8	30	180.00889	94.38389	23.078	4999.996	4976.99	999.936
RRRR	6	20	8	30	0.00806	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	8	31	111.97528	265.70889	1129.718	3955.284	5421.566	917.259
1111	6	20	8	31	291.97583	94.29583	1129.717	3955.297	5421.576	917.166
2222	6	20	8	31	309.78861	93.08278	1500.793	3848.433	5959.068	921.144
2222	6	20	8	32	129.78583	266.92028	1500.791	3848.38	5959.008	921.222
3333	6	20	8	32	120.73972	266.07833	1142.665	4020.171	5582.702	923.642
3333	6	20	8	32	300.74167	93.92917	1142.662	4020.2	5582.726	923.492
RRRR	6	20	8	45	180.01	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	8	45	0.00778	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	8	45	111.96722	265.71194	1129.662	3955.273	5421.403	917.321
1111	6	20	8	46	291.96917	94.295	1129.66	3955.3	5421.435	917.183
2222	6	20	8	46	309.78472	93.08472	1500.704	3848.435	5958.928	921.098
2222	6	20	8	47	129.78306	266.92083	1500.703	3848.405	5958.901	921.244
3333	6	20	8	47	120.73222	266.07889	1142.592	4020.157	5582.536	923.657
3333	6	20	8	47	300.73528	93.92667	1142.59	4020.195	5582.582	923.547
RRRR	6	20	9	0	180.00889	94.38361	23.078	4999.996	4976.99	999.936
RRRR	6	20	9	0	0.00833	265.62222	23.078	4999.997	4976.99	999.938
1111	6	20	9	1	111.95972	265.71222	1129.609	3955.267	5421.245	917.333
1111	6	20	9	1	291.9625	94.29222	1129.608	3955.294	5421.293	917.242
2222	6	20	9	1	309.77944	93.08389	1500.615	3848.415	5958.767	921.125
2222	6	20	9	2	129.77778	266.92083	1500.614	3848.38	5958.734	921.25
3333	6	20	9	2	120.72667	266.07972	1142.517	4020.164	5582.403	923.676
3333	6	20	9	2	300.72861	93.92472	1142.515	4020.191	5582.433	923.589
RRRR	6	20	9	15	180.00944	94.38361	23.078	4999.996	4976.99	999.936
RRRR	6	20	9	15	0.00722	265.62222	23.078	4999.997	4976.99	999.938
1111	6	20	9	15	111.95361	265.71472	1129.554	3955.27	5421.116	917.383
1111	6	20	9	16	291.95528	94.28944	1129.553	3955.288	5421.144	917.3
2222	6	20	9	16	309.77583	93.0825	1500.526	3848.422	5958.638	921.161
2222	6	20	9	17	129.77444	266.92222	1500.523	3848.393	5958.611	921.29
3333	6	20	9	17	120.72056	266.0825	1142.442	4020.161	5582.26	923.738
3333	6	20	9	17	300.72306	93.92417	1142.441	4020.195	5582.296	923.605
RRRR	6	20	9	30	180.00861	94.385	23.078	4999.996	4976.99	999.936
RRRR	6	20	9	30	0.00778	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	9	31	111.94722	265.71861	1129.496	3955.27	5420.978	917.464
1111	6	20	9	31	291.94833	94.2875	1129.495	3955.288	5420.994	917.346
2222	6	20	9	31	309.77139	93.08111	1500.437	3848.412	5958.492	921.207
2222	6	20	9	32	129.77028	266.92472	1500.434	3848.388	5958.472	921.359
3333	6	20	9	32	120.71417	266.08389	1142.367	4020.16	5582.116	923.772
3333	6	20	9	32	300.71694	93.92139	1142.365	4020.195	5582.156	923.665
RRRR	6	20	9	45	180.01	94.38389	23.078	4999.996	4976.99	999.936
RRRR	6	20	9	45	0.00639	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	9	46	111.93889	265.72139	1129.439	3955.258	5420.807	917.524
1111	6	20	9	46	291.94083	94.28472	1129.44	3955.28	5420.84	917.404
2222	6	20	9	46	309.7675	93.08083	1500.347	3848.42	5958.36	921.216
2222	6	20	9	47	129.76528	266.92556	1500.345	3848.375	5958.318	921.383
3333	6	20	9	47	120.70778	266.08639	1142.292	4020.155	5581.967	923.827
3333	6	20	9	47	300.71	93.92083	1142.289	4020.189	5581.999	923.678
RRRR	6	20	10	0	180.00917	94.38361	23.078	4999.996	4976.99	999.936
RRRR	6	20	10	0	0.00611	265.62333	23.078	4999.998	4976.989	999.939
1111	6	20	10	1	111.93306	265.72361	1129.384	3955.264	5420.682	917.573
1111	6	20	10	1	291.93389	94.28222	1129.382	3955.281	5420.695	917.456
2222	6	20	10	1	309.76333	93.07806	1500.257	3848.412	5958.217	921.298
2222	6	20	10	2	129.76167	266.92806	1500.256	3848.382	5958.193	921.454
3333	6	20	10	2	120.70111	266.08833	1142.215	4020.152	5581.817	923.868
3333	6	20	10	2	300.70306	93.9175	1142.213	4020.18	5581.845	923.752
RRRR	6	20	10	15	180.00889	94.38472	23.078	4999.996	4976.99	999.936
RRRR	6	20	10	15	0.00694	265.62389	23.078	4999.997	4976.989	999.939
1111	6	20	10	16	111.92806	265.72889	1129.326	3955.272	5420.57	917.679
1111	6	20	10	16	291.92806	94.27833	1129.324	3955.285	5420.567	917.534
2222	6	20	10	16	309.75806	93.0775	1500.167	3848.395	5958.058	921.312
2222	6	20	10	17	129.75778	266.93	1500.165	3848.382	5958.054	921.513
3333	6	20	10	17	120.695	266.09167	1142.14	4020.15	5581.677	923.943
3333	6	20	10	17	300.69639	93.91722	1142.137	4020.178	5581.694	923.761
RRRR	6	20	10	30	180.00861	94.38306	23.078	4999.997	4976.99	999.936
RRRR	6	20	10	30	0.00694	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	10	31	111.91833	265.73028	1129.271	3955.251	5420.377	917.713
1111	6	20	10	31	291.92083	94.27667	1129.271	3955.28	5420.419	917.574
2222	6	20	10	31	309.755	93.075	1500.078	3848.41	5957.941	921.382
2222	6	20	10	32	129.75222	266.93056	1500.076	3848.358	5957.888	921.533
3333	6	20	10	32	120.68861	266.09361	1142.065	4020.146	5581.528	923.986
3333	6	20	10	32	300.69167	93.91222	1142.063	4020.186	5581.576	923.868
RRRR	6	20	10	45	180.00806	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	20	10	45	0.00694	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	10	46	111.91083	265.73194	1129.215	3955.246	5420.218	917.746
1111	6	20	10	46	291.91278	94.27333	1129.215	3955.267	5420.25	917.642
2222	6	20	10	46	309.75028	93.075	1499.988	3848.4	5957.789	921.389
2222	6	20	10	47	129.74861	266.93139	1499.987	3848.363	5957.756	921.556
3333	6	20	10	47	120.68167	266.09444	1141.991	4020.141	5581.376	924.005
3333	6	20	10	47	300.68417	93.91139	1141.988	4020.173	5581.41	923.887
RRRR	6	20	11	0	180.00889	94.38444	23.078	4999.996	4976.99	999.936
RRRR	6	20	11	0	0.00694	265.6225	23.078	4999.997	4976.99	999.939
1111	6	20	11	1	111.90444	265.73389	1129.161	3955.246	5420.083	917.788
1111	6	20	11	1	291.90639	94.27111	1129.161	3955.268	5420.116	917.691
2222	6	20	11	1	309.74722	93.0725	1499.899	3848.413	5957.671	921.458
2222	6	20	11	2	129.74472	266.93139	1499.897	3848.37	5957.624	921.562
3333	6	20	11	2	120.67556	266.09556	1141.917	4020.138	5581.231	924.032
3333	6	20	11	2	300.67694	93.91	1141.915	4020.162	5581.252	923.923
RRRR	6	20	11	15	180.00833	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	11	15	0.00667	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	11	16	111.89694	265.73778	1129.108	3955.235	5419.927	917.868
1111	6	20	11	16	291.89944	94.27	1129.108	3955.264	5419.97	917.715
2222	6	20	11	16	309.74167	93.0725	1499.809	3848.388	5957.501	921.464
2222	6	20	11	17	129.73833	266.93333	1499.807	3848.331	5957.441	921.618
3333	6	20	11	17	120.66917	266.09889	1141.844	4020.134	5581.089	924.105
3333	6	20	11	17	300.67111	93.90806	1141.841	4020.164	5581.117	923.965
RRRR	6	20	11	30	180.00861	94.38556	23.078	4999.997	4976.99	999.935
RRRR	6	20	11	30	0.00806	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	11	31	111.89028	265.73861	1129.057	3955.232	5419.787	917.888
1111	6	20	11	31	291.89222	94.2675	1129.055	3955.255	5419.819	917.771
2222	6	20	11	31	309.73722	93.07083	1499.72	3848.382	5957.358	921.509
2222	6	20	11	32	129.73556	266.93472	1499.718	3848.351	5957.33	921.658
3333	6	20	11	32	120.66333	266.09917	1141.773	4020.135	5580.952	924.112
3333	6	20	11	32	300.66444	93.90611	1141.77	4020.156	5580.969	924.008
RRRR	6	20	11	45	180.00889	94.38528	23.078	4999.996	4976.99	999.935
RRRR	6	20	11	45	0.00694	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	11	46	111.88389	265.73972	1129.007	3955.229	5419.652	917.918
1111	6	20	11	46	291.88417	94.26556	1129.007	3955.24	5419.657	917.812
2222	6	20	11	46	309.73333	93.07028	1499.632	3848.382	5957.222	921.533
2222	6	20	11	47	129.73056	266.93556	1499.63	3848.335	5957.174	921.684
3333	6	20	11	47	120.65639	266.10083	1141.702	4020.122	5580.798	924.15
3333	6	20	11	47	300.65722	93.90639	1141.7	4020.143	5580.809	924.011
RRRR	6	20	12	0	180.00667	94.38444	23.078	4999.997	4976.99	999.936
RRRR	6	20	12	0	0.0075	265.6225	23.078	4999.997	4976.989	999.939
1111	6	20	12	1	111.875	265.74167	1128.959	3955.207	5419.477	917.958
1111	6	20	12	1	291.87694	94.26528	1128.959	3955.231	5419.507	917.819
2222	6	20	12	1	309.72861	93.06944	1499.543	3848.37	5957.07	921.557
2222	6	20	12	2	129.72694	266.93778	1499.542	3848.338	5957.046	921.751
3333	6	20	12	2	120.64944	266.10278	1141.633	4020.11	5580.648	924.198
3333	6	20	12	2	300.65139	93.90556	1141.631	4020.143	5580.676	924.03
RRRR	6	20	12	15	180.00694	94.38417	23.078	4999.997	4976.99	999.936
RRRR	6	20	12	15	0.0075	265.6225	23.078	4999.997	4976.99	999.939
1111	6	20	12	16	111.8675	265.74306	1128.912	3955.194	5419.322	917.987
1111	6	20	12	16	291.86889	94.2625	1128.913	3955.211	5419.346	917.881
2222	6	20	12	16	309.72417	93.06722	1499.455	3848.364	5956.93	921.619
2222	6	20	12	17	129.72194	266.9375	1499.454	3848.323	5956.89	921.748
3333	6	20	12	17	120.64194	266.10222	1141.564	4020.093	5580.482	924.189
3333	6	20	12	17	300.64333	93.9025	1141.563	4020.116	5580.505	924.094
RRRR	6	20	12	30	180.00778	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	12	30	0.0075	265.62278	23.078	4999.997	4976.989	999.939
1111	6	20	12	31	111.85972	265.74333	1128.871	3955.175	5419.167	917.998
1111	6	20	12	31	291.86167	94.2625	1128.87	3955.197	5419.196	917.882
2222	6	20	12	31	309.71861	93.06917	1499.369	3848.34	5956.763	921.573
2222	6	20	12	32	129.71861	266.93917	1499.367	3848.33	5956.765	921.792
3333	6	20	12	32	120.63528	266.10361	1141.499	4020.08	5580.336	924.222
3333	6	20	12	32	300.63694	93.90417	1141.497	4020.108	5580.359	924.065
RRRR	6	20	12	45	180.00806	94.38472	23.078	4999.997	4976.99	999.936
RRRR	6	20	12	45	0.00833	265.6225	23.078	4999.997	4976.989	999.939
1111	6	20	12	46	111.85306	265.74278	1128.828	3955.167	5419.029	917.988
1111	6	20	12	46	291.85444	94.26278	1128.828	3955.185	5419.051	917.879
2222	6	20	12	46	309.71556	93.06778	1499.281	3848.354	5956.644	921.619
2222	6	20	12	47	129.71278	266.9375	1499.279	3848.302	5956.59	921.752
3333	6	20	12	47	120.62833	266.1025	1141.433	4020.067	5580.183	924.201
3333	6	20	12	47	300.63056	93.9025	1141.43	4020.098	5580.215	924.106
RRRR	6	20	13	0	180.00722	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	20	13	0	0.00722	265.62222	23.078	4999.997	4976.99	999.938
1111	6	20	13	1	111.84361	265.74222	1128.789	3955.134	5418.841	917.981
1111	6	20	13	1	291.84583	94.2625	1128.787	3955.158	5418.878	917.886
2222	6	20	13	1	309.71139	93.06778	1499.193	3848.35	5956.503	921.621
2222	6	20	13	2	129.70889	266.93694	1499.191	3848.307	5956.459	921.747
3333	6	20	13	2	120.62083	266.10167	1141.368	4020.05	5580.023	924.193
3333	6	20	13	2	300.62278	93.90333	1141.366	4020.077	5580.051	924.09
RRRR	6	20	13	15	180.00778	94.38333	23.078	4999.997	4976.99	999.936
RRRR	6	20	13	15	0.0075	265.62222	23.078	4999.997	4976.99	999.939
1111	6	20	13	16	111.83583	265.74139	1128.751	3955.113	5418.681	917.967
1111	6	20	13	16	291.83694	94.26278	1128.75	3955.128	5418.703	917.883
2222	6	20	13	16	309.70556	93.06806	1499.107	3848.319	5956.33	921.614
2222	6	20	13	17	129.70306	266.93694	1499.105	3848.275	5956.285	921.752
3333	6	20	13	17	120.61333	266.10111	1141.305	4020.027	5579.86	924.187
3333	6	20	13	17	300.615	93.90333	1141.303	4020.052	5579.886	924.096
RRRR	6	20	13	30	180.00667	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	20	13	30	0.00667	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	13	31	111.82806	265.74278	1128.715	3955.087	5418.528	917.998
1111	6	20	13	31	291.82889	94.26556	1128.716	3955.106	5418.542	917.832
2222	6	20	13	31	309.69972	93.07	1499.021	3848.292	5956.16	921.574
2222	6	20	13	32	129.69806	266.93806	1499.018	3848.255	5956.128	921.781
3333	6	20	13	32	120.60694	266.10139	1141.243	4020.016	5579.72	924.193
3333	6	20	13	32	300.6075	93.90556	1141.241	4020.031	5579.723	924.057
RRRR	6	20	13	45	180.00694	94.38417	23.078	4999.997	4976.99	999.936
RRRR	6	20	13	45	0.00694	265.62333	23.078	4999.997	4976.989	999.939
1111	6	20	13	46	111.81889	265.74	1128.679	3955.058	5418.348	917.944
1111	6	20	13	46	291.82111	94.26611	1128.681	3955.08	5418.384	917.824
2222	6	20	13	46	309.69639	93.06917	1498.934	3848.3	5956.035	921.601
2222	6	20	13	47	129.69389	266.93639	1498.932	3848.256	5955.99	921.745
3333	6	20	13	47	120.59861	266.1	1141.184	4019.984	5579.547	924.17
3333	6	20	13	47	300.60056	93.90722	1141.182	4020.016	5579.577	924.025
RRRR	6	20	14	0	180.0075	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	14	0	0.00583	265.62361	23.078	4999.998	4976.99	999.939
1111	6	20	14	1	111.81167	265.73778	1128.648	3955.037	5418.201	917.903
1111	6	20	14	1	291.81306	94.26833	1128.649	3955.055	5418.227	917.784
2222	6	20	14	1	309.68972	93.07139	1498.848	3848.258	5955.844	921.545
2222	6	20	14	2	129.68833	266.93639	1498.845	3848.23	5955.824	921.747
3333	6	20	14	2	120.59028	266.09944	1141.126	4019.95	5579.374	924.162
3333	6	20	14	2	300.5925	93.90833	1141.125	4019.984	5579.408	924.011
RRRR	6	20	14	15	180.00722	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	20	14	15	0.00611	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	14	16	111.80111	265.73528	1128.618	3954.992	5417.999	917.856
1111	6	20	14	16	291.80333	94.27	1128.62	3955.013	5418.036	917.75
2222	6	20	14	16	309.68528	93.07194	1498.763	3848.25	5955.701	921.538
2222	6	20	14	17	129.68444	266.935	1498.76	3848.234	5955.692	921.719
3333	6	20	14	17	120.5825	266.09667	1141.072	4019.921	5579.211	924.114
3333	6	20	14	17	300.58472	93.90833	1141.07	4019.952	5579.247	924.012
RRRR	6	20	14	30	180.00694	94.38417	23.078	4999.997	4976.99	999.936
RRRR	6	20	14	30	0.00556	265.62333	23.078	4999.998	4976.99	999.939
1111	6	20	14	30	111.79222	265.73306	1128.591	3954.954	5417.824	917.813
1111	6	20	14	31	291.79556	94.27306	1128.591	3954.987	5417.88	917.693
2222	6	20	14	31	309.68028	93.07361	1498.677	3848.234	5955.544	921.497
2222	6	20	14	32	129.67833	266.93417	1498.675	3848.196	5955.511	921.698
3333	6	20	14	32	120.57528	266.09278	1141.017	4019.899	5579.058	924.039
3333	6	20	14	32	300.57639	93.91306	1141.016	4019.92	5579.074	923.922
RRRR	6	20	14	45	180.00778	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	20	14	45	0.00722	265.62167	23.078	4999.997	4976.99	999.938
1111	6	20	14	46	111.78361	265.72944	1128.566	3954.92	5417.655	917.744
1111	6	20	14	46	291.78528	94.27694	1128.566	3954.941	5417.685	917.62
2222	6	20	14	46	309.67528	93.07444	1498.592	3848.217	5955.388	921.476
2222	6	20	14	47	129.67306	266.93167	1498.59	3848.175	5955.347	921.64
3333	6	20	14	47	120.56722	266.09111	1140.964	4019.867	5578.895	924.009
3333	6	20	14	47	300.56861	93.91417	1140.963	4019.889	5578.914	923.902
RRRR	6	20	15	0	180.00722	94.38417	23.078	4999.997	4976.99	999.936
RRRR	6	20	15	0	0.00694	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	15	1	111.77444	265.72611	1128.539	3954.883	5417.479	917.681
1111	6	20	15	1	291.77583	94.28139	1128.54	3954.902	5417.5	917.534
2222	6	20	15	1	309.67056	93.07778	1498.505	3848.209	5955.234	921.396
2222	6	20	15	2	129.66806	266.93	1498.502	3848.16	5955.189	921.603
3333	6	20	15	2	120.55889	266.08778	1140.911	4019.833	5578.723	923.949
3333	6	20	15	2	300.56028	93.91778	1140.91	4019.853	5578.74	923.836
RRRR	6	20	15	15	180.00722	94.38361	23.078	4999.997	4976.99	999.936
RRRR	6	20	15	15	0.00556	265.6225	23.078	4999.998	4976.99	999.939
1111	6	20	15	16	111.76472	265.72139	1128.516	3954.839	5417.29	917.593
1111	6	20	15	16	291.76694	94.28389	1128.517	3954.862	5417.326	917.488
2222	6	20	15	16	309.66389	93.07889	1498.42	3848.166	5955.047	921.368
2222	6	20	15	17	129.6625	266.9275	1498.418	3848.138	5955.024	921.535
3333	6	20	15	17	120.54972	266.08472	1140.861	4019.786	5578.536	923.889
3333	6	20	15	17	300.55222	93.92111	1140.859	4019.82	5578.575	923.773
RRRR	6	20	15	30	180.00806	94.38528	23.078	4999.997	4976.99	999.935
RRRR	6	20	15	30	0.00694	265.62306	23.078	4999.997	4976.989	999.939
1111	6	20	15	31	111.75639	265.71833	1128.493	3954.804	5417.127	917.533
1111	6	20	15	31	291.75889	94.28806	1128.493	3954.83	5417.167	917.409
2222	6	20	15	31	309.65944	93.08083	1498.333	3848.159	5954.9	921.326
2222	6	20	15	32	129.65778	266.9275	1498.331	3848.127	5954.875	921.541
3333	6	20	15	32	120.54194	266.08111	1140.81	4019.756	5578.376	923.819
3333	6	20	15	32	300.54361	93.92444	1140.809	4019.781	5578.402	923.713
RRRR	6	20	15	45	180.0075	94.385	23.078	4999.997	4976.99	999.936
RRRR	6	20	15	45	0.00667	265.62278	23.078	4999.997	4976.99	999.939
1111	6	20	15	46	111.74611	265.71361	1128.472	3954.756	5416.93	917.44
1111	6	20	15	46	291.74833	94.29306	1128.472	3954.779	5416.964	917.313
2222	6	20	15	46	309.65472	93.08306	1498.248	3848.15	5954.75	921.271
2222	6	20	15	47	129.65278	266.92389	1498.245	3848.111	5954.715	921.455
3333	6	20	15	47	120.53278	266.07833	1140.761	4019.707	5578.19	923.769
3333	6	20	15	47	300.53472	93.92889	1140.759	4019.738	5578.22	923.626
RRRR	6	20	16	0	180.00722	94.38333	23.078	4999.997	4976.99	999.936
RRRR	6	20	16	0	0.00611	265.62278	23.078	4999.998	4976.99	999.939
1111	6	20	16	1	111.73639	265.70917	1128.452	3954.708	5416.739	917.358
1111	6	20	16	1	291.73861	94.29667	1128.453	3954.733	5416.781	917.244
2222	6	20	16	1	309.64833	93.08417	1498.162	3848.112	5954.567	921.244
2222	6	20	16	2	129.64583	266.92139	1498.16	3848.066	5954.521	921.391
3333	6	20	16	2	120.52389	266.07444	1140.711	4019.667	5578.013	923.696
3333	6	20	16	2	300.52639	93.92944	1140.709	4019.696	5578.049	923.616
RRRR	6	20	16	15	180.00639	94.38389	23.078	4999.997	4976.99	999.936
RRRR	6	20	16	15	0.00444	265.62278	23.078	4999.998	4976.99	999.939
1111	6	20	16	16	111.7275	265.70333	1128.431	3954.671	5416.566	917.245
1111	6	20	16	16	291.72889	94.30194	1128.431	3954.69	5416.593	917.138
2222	6	20	16	16	309.64278	93.08667	1498.074	3848.087	5954.395	921.185
2222	6	20	16	17	129.64056	266.91917	1498.073	3848.047	5954.357	921.338
3333	6	20	16	17	120.515	266.07083	1140.662	4019.624	5577.835	923.628
3333	6	20	16	17	300.51833	93.93472	1140.661	4019.663	5577.883	923.515
RRRR	6	20	16	30	180.00667	94.38583	23.078	4999.997	4976.99	999.935
RRRR	6	20	16	30	0.00611	265.62472	23.078	4999.998	4976.989	999.939
1111	6	20	16	31	111.7175	265.69944	1128.411	3954.623	5416.377	917.171
1111	6	20	16	31	291.71778	94.30778	1128.412	3954.634	5416.379	917.029
2222	6	20	16	31	309.63722	93.09	1497.989	3848.066	5954.229	921.106
2222	6	20	16	32	129.63528	266.91917	1497.987	3848.025	5954.196	921.342
3333	6	20	16	32	120.50611	266.06861	1140.615	4019.576	5577.656	923.583
3333	6	20	16	32	300.50889	93.93972	1140.613	4019.616	5577.697	923.422
RRRR	6	20	16	45	180.00722	94.38472	23.078	4999.997	4976.99	999.936
RRRR	6	20	16	45	0.00639	265.62306	23.078	4999.997	4976.99	999.939
1111	6	20	16	46	111.7075	265.69417	1128.395	3954.573	5416.187	917.068
1111	6	20	16	46	291.70889	94.31167	1128.394	3954.59	5416.205	916.954
2222	6	20	16	46	309.63083	93.09111	1497.903	3848.024	5954.041	921.083
2222	6	20	16	47	129.63028	266.91444	1497.901	3848.009	5954.032	921.223
3333	6	20	16	47	120.4975	266.0625	1140.569	4019.537	5577.482	923.467
3333	6	20	16	47	300.49972	93.94306	1140.567	4019.566	5577.512	923.36
RRRR	6	20	17	0	180.00667	94.38556	23.078	4999.997	4976.99	999.935
RRRR	6	20	17	0	0.00528	265.62417	23.078	4999.998	4976.989	999.939
1111	6	20	17	1	111.69667	265.68917	1128.374	3954.52	5415.977	916.971
1111	6	20	17	1	291.7	94.31667	1128.375	3954.551	5416.033	916.852
2222	6	20	17	1	309.62639	93.09361	1497.817	3848.018	5953.893	921.016
2222	6	20	17	2	129.625	266.91222	1497.816	3847.99	5953.87	921.169
3333	6	20	17	2	120.48889	266.05917	1140.522	4019.492	5577.304	923.406
3333	6	20	17	2	300.49056	93.94722	1140.521	4019.52	5577.332	923.276
