t_hat,r_hat,r
45.4063,597819,597791
45.4167,597712,597684
45.4271,597620,597593
45.4375,597537,597510
45.4583,597347,597320
45.4688,597259,597232
45.4792,597175,597148
45.4896,597075,597048
45.5000,596996,596969
45.5104,596905,596878
45.5208,596835,596808
45.5313,596712,596685
45.5417,596623,596596
45.5521,596538,596512
45.5625,596441,596415
45.5729,596329,596303
45.5833,596271,596245
45.5944,596160,596134
45.6049,596082,596057
45.6146,596002,595977
45.6250,595914,595889
45.6354,595827,595802
45.6458,595744,595720
45.6563,595646,595622
45.6667,595557,595533
45.6771,595473,595449
45.6875,595363,595340
45.6979,595284,595260
45.7083,595208,595184
45.7188,595097,595073
45.7292,595011,594987
45.7396,594923,594898
45.7507,594828,594802
45.7708,594645,594617
45.7813,594562,594533
45.7917,594460,594430
45.8021,594371,594341
45.8125,594293,594261
45.8229,594201,594169
45.8333,594118,594085
45.8438,594019,593986
45.8542,593922,593888
45.8646,593833,593799
45.8750,593747,593713
45.8854,593643,593609
45.8958,593550,593516
45.9063,593454,593420
45.9167,593371,593337
45.9271,593273,593239
45.9375,593179,593145
45.9479,593075,593040
45.9583,592983,592948
45.9688,592887,592852
45.9792,592782,592747
45.9896,592686,592650
46.0000,592589,592553
46.0104,592484,592448
46.0208,592392,592356
46.0313,592291,592255
46.0417,592198,592161
46.0521,592090,592053
46.0625,592002,591965
46.0729,591898,591861
46.0833,591796,591759
46.0938,591709,591671
46.1042,591616,591578
46.1146,591515,591477
46.1250,591418,591379
46.1354,591319,591280
46.1458,591223,591184
46.1563,591129,591089
46.1667,591044,591004
46.1771,590940,590900
46.1875,590846,590806
46.1979,590755,590715
46.2083,590658,590617
46.2188,590563,590522
46.2292,590476,590436
46.2396,590388,590347
46.2500,590294,590253
46.2604,590203,590163
46.2708,590103,590063
46.2813,590015,589975
46.2917,589923,589884
46.3021,589840,589802
46.3125,589745,589707
46.3229,589648,589611
46.3333,589568,589531
46.3438,589469,589433
46.3542,589389,589353
46.3646,589303,589268
46.3750,589206,589171
46.3854,589112,589078
46.3958,589032,588998
46.4063,588918,588885
46.4167,588851,588818
46.4271,588748,588715
46.4375,588654,588621
46.4479,588559,588527
46.4583,588469,588437
46.4688,588381,588349
46.4792,588299,588267
46.4896,588208,588176
46.5000,588113,588082
46.5104,588015,587984
46.5208,587938,587907
46.5313,587849,587818
46.5417,587749,587718
46.5521,587646,587615
46.5625,587548,587518
46.5729,587478,587447
46.5833,587372,587342
46.5938,587298,587268
46.6042,587205,587175
46.6250,587004,586974
46.6354,586931,586901
46.6458,586837,586807
46.6563,586743,586713
46.6667,586656,586626
46.6771,586560,586530
46.6875,586463,586433
46.6979,586386,586355
46.7083,586279,586249
46.7188,586191,586160
46.7396,586019,585988
46.7500,585938,585907
46.7604,585848,585817
46.7708,585752,585721
46.7813,585661,585630
46.7917,585572,585542
46.8021,585489,585459
46.8125,585406,585376
46.8229,585317,585287
46.8333,585211,585182
46.8438,585130,585101
46.8542,585024,584995
46.8750,584862,584833
46.8854,584799,584770
46.8958,584689,584660
46.9375,584335,584306
46.9479,584247,584218
46.9583,584149,584120
46.9688,584058,584030
46.9792,583972,583944
46.9896,583876,583848
47.0000,583791,583763
47.0104,583690,583663
47.0208,583597,583571
47.0313,583501,583475
47.0417,583405,583380
47.0521,583309,583284
47.0625,583215,583191
47.0736,583126,583103
47.0833,583034,583011
47.0938,582950,582927
47.1042,582834,582812
47.1146,582755,582733
47.1250,582658,582636
47.1354,582561,582539
47.1458,582478,582456
47.1563,582391,582368
47.1667,582305,582282
47.1771,582210,582186
47.1875,582126,582102
47.1979,582031,582006
47.2083,581941,581916
47.2188,581844,581818
47.2292,581755,581729
47.2396,581673,581647
47.2500,581581,581555
47.2604,581489,581463
47.2708,581403,581376
47.2813,581318,581291
47.2917,581237,581211
47.3021,581146,581120
47.3125,581073,581047
47.3229,580974,580948
47.3333,580889,580864
47.3438,580798,580774
47.3542,580721,580697
47.3646,580642,580619
47.3750,580553,580531
47.3854,580468,580447
47.3958,580382,580361
47.4063,580275,580255
47.4167,580202,580182
47.4479,579935,579916
47.4583,579863,579845
47.4688,579752,579734
47.4792,579669,579652
47.4896,579572,579555
47.5104,579407,579390
47.5208,579322,579306
47.5313,579220,579204
47.5417,579121,579105
47.5521,579045,579029
47.6146,578474,578457
47.6250,578385,578368
47.6354,578289,578271
47.6458,578214,578196
47.6563,578117,578098
47.6667,578027,578008
47.6771,577929,577910
47.6875,577839,577819
47.6979,577747,577727
47.7083,577651,577630
47.7188,577541,577520
47.7292,577467,577446
47.7396,577381,577359
47.7813,576997,576974
47.7917,576910,576886
47.8021,576820,576796
47.8125,576719,576695
47.8229,576638,576614
47.8333,576559,576535
47.8438,576450,576426
47.8542,576352,576328
47.8646,576279,576255
47.8750,576180,576156
47.8854,576087,576063
47.8958,575994,575970
47.9063,575906,575882
47.9167,575804,575780
47.9271,575719,575695
47.9375,575624,575600
47.9479,575531,575507
47.9583,575437,575413
47.9688,575350,575325
47.9792,575254,575229
47.9896,575154,575129
48.0000,575070,575044
48.0104,574965,574939
48.0208,574879,574852
48.0313,574789,574762
48.0417,574670,574643
48.0521,574580,574552
48.0729,574394,574366
48.2917,572404,572377
48.3021,572322,572295
48.3125,572224,572197
48.3229,572134,572107
48.3438,571970,571943
48.3542,571864,571837
48.3646,571783,571756
48.3750,571695,571669
48.3854,571614,571588
48.3958,571528,571502
48.4063,571437,571411
48.4167,571340,571314
48.4271,571264,571238
48.4375,571177,571152
48.4479,571069,571044
48.4583,570983,570958
48.4688,570894,570870
48.4792,570813,570789
48.4896,570712,570689
48.5000,570626,570603
48.5104,570517,570495
48.5208,570450,570428
48.5313,570356,570335
48.5417,570256,570235
48.5521,570163,570143
48.5625,570075,570055
48.5729,569987,569968
48.5833,569888,569869
48.5938,569793,569775
48.6042,569714,569697
48.6146,569608,569591
48.6250,569536,569519
48.6354,569430,569413
48.6458,569337,569320
48.6563,569252,569236
48.6667,569151,569135
48.6771,569047,569031
48.6875,568945,568928
48.6979,568861,568844
48.7097,568764,568747
48.7188,568661,568643
48.7292,568574,568556
48.7500,568396,568377
48.7604,568295,568276
48.7708,568194,568175
48.7917,568000,567980
48.8021,567928,567907
48.8125,567833,567812
48.8229,567726,567705
48.8333,567633,567612
48.8438,567557,567535
48.8542,567468,567446
48.8646,567368,567345
48.8750,567286,567263
48.8854,567191,567168
48.8958,567097,567074
48.9063,567012,566989
48.9167,566921,566897
48.9271,566829,566805
48.9375,566739,566715
48.9479,566644,566620
48.9583,566548,566524
48.9688,566465,566441
48.9792,566365,566341
48.9896,566272,566247
49.0000,566180,566155
49.0104,566093,566068
49.0208,566005,565979
49.0313,565896,565870
49.0417,565801,565775
49.0521,565704,565678
49.0625,565615,565588
49.0729,565522,565495
49.0833,565422,565395
49.0938,565336,565309
49.1042,565227,565199
49.1146,565133,565105
49.1250,565048,565020
49.1354,564963,564935
49.1458,564851,564822
49.1563,564757,564729
49.1667,564652,564623
49.1771,564559,564530
49.1875,564463,564434
49.1979,564362,564333
49.2083,564278,564250
49.2188,564177,564149
49.2292,564097,564069
49.2500,563913,563886
49.2604,563816,563790
49.2708,563719,563693
49.2813,563621,563596
49.2917,563525,563500
49.3021,563433,563409
49.3125,563355,563332
49.3229,563264,563241
49.3333,563183,563161
49.3438,563108,563086
49.3542,562995,562973
49.3646,562915,562894
49.3750,562825,562803
49.3854,562737,562716
49.3958,562643,562622
49.4063,562560,562539
49.4167,562456,562435
49.4271,562408,562386
49.4375,562320,562299
49.4479,562228,562207
49.4583,562133,562112
49.4688,562043,562022
49.4792,561963,561942
49.4896,561875,561854
49.5007,561775,561754
